,CandT,Lassosum,LDpred2
0.0,-1.9436,-0.0944551,-1.59674
1.0,-1.07812,-0.066602459,-0.98635167
2.0,-0.838292,-0.059479834,-0.86685234
3.0,-0.792486,-0.055133265,-0.77851629
4.0,-0.60256944,-0.050232972,-0.71061848
5.0,-0.59424,-0.046862685,-0.6713510500000001
6.0,-0.552655,-0.044087882,-0.60198934
7.0,-0.546481,-0.041283223,-0.55831536
8.0,-0.479662,-0.038559128000000005,-0.5242346
9.0,-0.479662,-0.036487375,-0.49468681000000014
10.0,-0.354409,-0.03475156,-0.4625342
11.0,-0.350189,-0.032584828999999996,-0.42726154
12.0,-0.308604,-0.030874896000000006,-0.4000339200000001
13.0,-0.304383,-0.029226016,-0.37328901999999997
14.0,-0.260845,-0.027758552,-0.35577703999999993
15.0,-0.256624,-0.026544120000000004,-0.3354151000000001
16.0,-0.239831,-0.024652123999999997,-0.30893952
17.0,-0.239831,-0.023049213,-0.289352
18.0,-0.23561,-0.021763942,-0.26830494000000005
19.0,-0.23561,-0.020288019,-0.25011484
20.0,-0.2004775999999995,-0.01895218,-0.2299968
21.0,-0.110358,-0.017703984,-0.21183673
22.0,-0.0625991,-0.016352506,-0.19493442
23.0,-0.0210141,-0.015109707,-0.17866858
24.0,-0.019061,-0.013916320000000001,-0.16262660000000004
25.0,0.0,-0.012598375,-0.1468475
26.0,0.00422069,-0.01141963599999999,-0.13144802
27.0,0.00422069,-0.010171314,-0.11727570000000001
28.0,0.00422069,-0.008932348799999998,-0.10104619999999997
29.0,0.00422069,-0.008136812200000001,-0.08520317100000001
30.0,0.00422069,-0.0067403060000000015,-0.07122508000000004
31.0,0.00844138,-0.0057519143,-0.05846132800000001
32.0,0.0477588,-0.004649171599999999,-0.04179017999999997
33.0,0.0477588,-0.0033852107000000016,-0.027507740000000048
34.0,0.0519795,-0.0021067363999999994,-0.015257291999999999
35.0,0.0519795,-0.0008037688000000032,-0.003000648000000006
36.0,0.172107,0.00031021515999999884,0.011462455999999985
37.0,0.20874922999999923,0.001468412199999999,0.025651528999999992
38.0,0.236659,0.002611809200000001,0.039796806000000004
39.0,0.244051,0.00406361,0.051674466
40.0,0.244051,0.005499676,0.0646154
41.0,0.244051,0.006883018,0.08026993499999992
42.0,0.248272,0.008218286800000002,0.09606220800000005
43.0,0.248272,0.009901913899999998,0.1087987
44.0,0.248272,0.011451752,0.12290792
45.0,0.28759,0.013593535000000016,0.14208220000000002
46.0,0.29181,0.015421700000000003,0.15570644
47.0,0.29181,0.017428255,0.1745167299999999
48.0,0.29181,0.019688691999999987,0.1933751999999999
49.0,0.296031,0.02242304899999999,0.21351938999999998
50.0,0.432952,0.0255417,0.229513
51.0,0.47649,0.028909172000000004,0.2488828700000001
52.0,0.484931,0.033440160000000003,0.27584496
53.0,0.488103,0.03777047000000006,0.2953355200000001
54.0,0.5108603799999999,0.04566835399999999,0.31468848
55.0,0.531641,0.052536690000000025,0.33070200000000005
56.0,0.531641,0.058427780000000006,0.3527204400000001
57.0,0.535862,0.062825956,0.36922033
58.0,0.547531,0.066098736,0.38995093999999997
59.0,0.570055,0.06931716,0.40863512
60.0,0.595289,0.07144529999999999,0.432285
61.0,0.720541,0.07394379999999999,0.45509764999999985
62.0,0.7271210799999979,0.07588450399999999,0.47454718
63.0,0.7687309200000001,0.07746818800000001,0.49954339000000003
64.0,0.787361,0.07953926400000001,0.5159812000000001
65.0,0.791582,0.08140797000000001,0.5355534500000005
66.0,0.791582,0.08267198199999999,0.55119014
67.0,0.819231,0.08408563699999999,0.5706597800000001
68.0,0.83512,0.08588525200000001,0.5930162800000001
69.0,0.83512,0.08762015799999999,0.6147167
70.0,0.976262,0.08927699,0.6410029
71.0,1.03141,0.09060442,0.6623287800000001
72.0,1.03141,0.092411444,0.6827549599999997
73.0,1.03563,0.09358578599999998,0.70118646
74.0,1.06328,0.09501652599999999,0.72123562
75.0,1.07495,0.0969227,0.739749
76.0,1.07917,0.098298432,0.7575743600000001
77.0,1.07917,0.099891802,0.7760053299999999
78.0,1.07917,0.10118868000000003,0.79357054
79.0,1.07917,0.10262197,0.81587338
80.0,1.12271,0.10423860000000001,0.8431672
81.0,1.25218,0.10581136,0.8621823700000001
82.0,1.27546,0.10753125999999999,0.88820716
83.0,1.319,0.10903758,0.90904138
84.0,1.319,0.11054984,0.93219092
85.0,1.319,0.11240809999999998,0.9568881999999997
86.0,1.32322,0.11436677999999999,0.9850154199999999
87.0,1.32322,0.11677515999999999,1.0162206
88.0,1.32322,0.11871776,1.0492616000000001
89.0,1.36676,0.12150233000000002,1.0901435000000002
90.0,1.36676,0.12491750000000001,1.1189010000000001
91.0,1.56305,0.12868546,1.1590992
92.0,1.56305,0.13478788,1.1976776
93.0,1.60659,0.14994969000000063,1.2579185000000002
94.0,1.62248,0.17944025999999946,1.3217286
95.0,1.85064,0.19038239999999976,1.4230239999999994
96.0,1.86653,0.19789291999999994,1.5144751999999981
97.0,2.10636,0.20424595999999998,1.6050857999999992
98.0,2.153022799999999,0.21024765999999998,1.7299765999999988
99.0,2.39395,0.21733885999999997,1.8675103999999998
99.5,2.39395,0.22340624000000003,1.9915072000000003
99.7,2.638,0.22427583,2.090891930000001
99.9,2.638,0.22689785500000006,2.206992740000006
100.0,2.638,0.237104,2.36676
