,CandT,Lassosum,LDpred2
0.0,-24.4658,-4.91785,-0.12303
1.0,-18.377663,-2.6218366,-0.08215276
2.0,-16.933604,-2.2282618000000003,-0.072751454
3.0,-15.873303,-2.0148577000000003,-0.065955547
4.0,-15.140304,-1.815508,-0.060900876
5.0,-14.396575,-1.659859,-0.05659737
6.0,-13.844198,-1.498135,-0.053125212000000005
7.0,-13.471144,-1.3601964,-0.050460656
8.0,-12.993364,-1.2781968,-0.04803978799999999
9.0,-12.476269,-1.1992432,-0.045925409
10.0,-12.07842,-1.1264319999999999,-0.04353335999999999
11.0,-11.707439,-1.0482878,-0.041319611
12.0,-11.388288,-0.9874884800000001,-0.03993512
13.0,-11.073485,-0.91441943,-0.038699391
14.0,-10.78257,-0.8379580199999999,-0.036728718
15.0,-10.569695000000001,-0.7905537000000001,-0.035376710000000006
16.0,-10.2983,-0.7378524799999999,-0.03401186
17.0,-10.037122,-0.6803737599999999,-0.033010764
18.0,-9.7766818,-0.6252776800000001,-0.031660152
19.0,-9.489882,-0.58220089,-0.030531114999999998
20.0,-9.312456000000001,-0.5380406,-0.02912176
21.0,-9.083898499999998,-0.48201897,-0.027934538
22.0,-8.8401118,-0.44808566,-0.026941466
23.0,-8.6365101,-0.40631575,-0.025773465
24.0,-8.3733236,-0.35435560000000005,-0.024934124000000005
25.0,-8.1530625,-0.31686325000000004,-0.023831475
26.0,-7.9245003999999994,-0.2711724,-0.022476872
27.0,-7.7301343,-0.22676985,-0.021485149999999998
28.0,-7.5493768,-0.18302775999999993,-0.020683235999999997
29.0,-7.364202000000001,-0.1332687,-0.019619257
30.0,-7.2307179999999995,-0.09243453000000003,-0.018575120000000007
31.0,-6.9901164,-0.050989188000000005,-0.017680839
32.0,-6.805370399999999,-0.011175895999999897,-0.016495255999999996
33.0,-6.6110724,0.01847864099999999,-0.015485563
34.0,-6.4552988,0.05946767000000033,-0.014598522
35.0,-6.293928,0.09715226999999999,-0.013598130000000002
36.0,-6.105018800000001,0.13487295999999985,-0.012617336000000002
37.0,-5.9446115,0.17246463999999997,-0.011853794
38.0,-5.7350302,0.2085722000000001,-0.011159934
39.0,-5.543034,0.2452553100000002,-0.010072006999999996
40.0,-5.372698,0.2800564,-0.009141838
41.0,-5.2223063000000005,0.31033904,-0.008278345500000001
42.0,-5.004717399999999,0.34940462000000005,-0.0075416573999999995
43.0,-4.8542029,0.3931182999999999,-0.006596990900000001
44.0,-4.7016928,0.43751864,-0.0057751676
45.0,-4.5310655,0.46820415,-0.004700945499999997
46.0,-4.3638606,0.50738046,-0.0038116789999999997
47.0,-4.166616300000001,0.5387542899999993,-0.0031087684000000028
48.0,-3.9956560000000008,0.57479068,-0.002348930800000006
49.0,-3.885491500000001,0.60645176,-0.001161158400000001
50.0,-3.7264600000000003,0.6400684999999999,-0.0002353955
51.0,-3.5618031,0.6786376000000001,0.0006311494200000009
52.0,-3.3621643999999997,0.72090392,0.001609380000000008
53.0,-3.179827299999999,0.7587974500000005,0.0024990121000000114
54.0,-3.015727,0.7928232,0.0031932773999999997
55.0,-2.8811619999999993,0.8320851000000001,0.004114763500000009
56.0,-2.7184375999999975,0.8666942400000001,0.0051236596000000054
57.0,-2.5703955000000005,0.8983441899999999,0.0061720326999999955
58.0,-2.4029814000000003,0.93087528,0.007123728599999999
59.0,-2.2744809,0.95985444,0.008184199000000001
60.0,-2.1071120000000008,1.0160939999999998,0.009131111999999993
61.0,-1.9750551000000005,1.0544211000000001,0.009954827599999999
62.0,-1.7699010000000002,1.0937047999999998,0.010789519999999999
63.0,-1.6105753999999999,1.1278841000000002,0.011940899000000001
64.0,-1.4474799999999999,1.1571504000000001,0.013033596000000005
65.0,-1.3092624999999996,1.1867545000000002,0.013884495
66.0,-1.1211790000000001,1.2251922,0.014905712
67.0,-0.9790653199999999,1.2607290000000002,0.015777959
68.0,-0.8142975199999991,1.2998984000000002,0.016724304000000002
69.0,-0.6686282400000004,1.3379355999999998,0.017654332
70.0,-0.4792586000000005,1.380809,0.018490859999999994
71.0,-0.28783869999999995,1.4253772,0.019524916
72.0,-0.07650896000000125,1.4624452,0.020407651999999988
73.0,0.12478067999999967,1.4991166,0.021466249
74.0,0.2847522599999995,1.5415575999999998,0.022444113999999998
75.0,0.436234,1.5864,0.0234886
76.0,0.6485973200000014,1.6249268000000001,0.024782164000000002
77.0,0.81829196,1.6735706000000001,0.025675644000000008
78.0,1.0307470000000016,1.7252270000000005,0.026678978000000006
79.0,1.2410187,1.7839662,0.027744651999999998
80.0,1.4091340000000008,1.829178,0.028898300000000002
81.0,1.6341360000000016,1.8843661000000003,0.029800939000000005
82.0,1.8364503999999977,1.9285442,0.031350372
83.0,2.0902514999999995,1.9910974,0.032677311
84.0,2.2880516,2.0649204,0.034029408000000004
85.0,2.5815539999999975,2.1214014999999997,0.03566799
86.0,2.8808025999999995,2.1891658,0.037270774
87.0,3.1849324999999986,2.2402268,0.038826905999999994
88.0,3.5655928,2.3140988,0.04047530400000001
89.0,3.940127600000002,2.3770527,0.04236702500000001
90.0,4.342309000000001,2.4473610000000003,0.04406115000000002
91.0,4.786976999999999,2.5224614,0.045820816
92.0,5.225336,2.6048468,0.047620340000000004
93.0,5.669216100000002,2.7161266000000004,0.04969515100000001
94.0,6.1408619999999985,2.823719199999997,0.0518000339999999
95.0,6.748598999999998,2.9255074999999966,0.05564065999999999
96.0,7.384353599999999,3.0728291999999953,0.06022431999999993
97.0,8.165072599999997,3.270730299999999,0.065226818
98.0,9.3503774,3.4861234,0.07272500399999997
99.0,10.979402999999992,3.864579099999997,0.08133587099999996
99.5,12.164890000000021,4.1459148,0.08882341600000002
99.7,13.11995590000009,4.360992870000001,0.09729667950000044
99.9,16.947146400000562,4.769994710000055,0.11272175800000285
100.0,20.0252,7.30996,0.141592
