,CandT,Lassosum,LDpred2
0.0,-15.3948,-2.2043,-0.442223
1.0,-10.030729999999998,-1.0676242,-0.31721378
2.0,-8.580643,-0.77494232,-0.3036895
3.0,-7.7762787,-0.64771162,-0.28781262
4.0,-7.24247,-0.5063804799999999,-0.27862628
5.0,-6.7970999999999995,-0.4166624,-0.2694437
6.0,-6.4361462,-0.3418453,-0.26311757999999996
7.0,-6.0586665,-0.27560877,-0.2556522
8.0,-5.7494428,-0.19779832,-0.25001876
9.0,-5.4122222,-0.13592902000000004,-0.24586977999999998
10.0,-5.137615,-0.06138836999999993,-0.2417121
11.0,-4.8484001,-0.007581274499999989,-0.23811938000000002
12.0,-4.532302000000001,0.04946575599999998,-0.23390844
13.0,-4.2211041,0.09638260600000002,-0.23067148
14.0,-3.941505,0.13840908000000013,-0.22745312
15.0,-3.714516,0.16967739999999987,-0.2246594
16.0,-3.5192068,0.20491384000000004,-0.22168156
17.0,-3.3087631999999996,0.24120277,-0.2194229
18.0,-3.0854942000000003,0.27783369999999985,-0.21730348000000002
19.0,-2.9464221,0.3197037100000001,-0.21437798
20.0,-2.744306,0.36327960000000004,-0.2109712
21.0,-2.5394666999999997,0.40136541000000003,-0.20825363
22.0,-2.3563564,0.44203188000000004,-0.2056496
23.0,-2.148184,0.48107717,-0.20325446
24.0,-2.0378236000000003,0.5094285999999999,-0.20038008000000002
25.0,-1.8757025,0.5325467500000001,-0.19678125
26.0,-1.7313771999999996,0.5669372000000001,-0.1949487
27.0,-1.5796346,0.58977528,-0.19296080000000002
28.0,-1.4519523999999997,0.61798324,-0.19105687999999998
29.0,-1.3123879,0.64368891,-0.18875484
30.0,-1.1438220000000003,0.6784045,-0.1866551
31.0,-1.0027891400000004,0.70344608,-0.18454679
32.0,-0.8668976799999994,0.726322,-0.1823542
33.0,-0.7369577900000003,0.7580830599999999,-0.18016925
34.0,-0.6086685799999998,0.7847012000000001,-0.17801155999999999
35.0,-0.4548687500000004,0.8166935999999999,-0.1755099
36.0,-0.27490908000000003,0.8463734799999999,-0.17310212
37.0,-0.13412860000000018,0.86722525,-0.17129064
38.0,-0.034453571999999794,0.89034148,-0.16961884
39.0,0.09024656900000026,0.92172842,-0.16784288
40.0,0.20106320000000005,0.9468636,-0.1658022
41.0,0.3181385299999999,0.97030311,-0.1642161
42.0,0.42558604000000033,0.98954874,-0.16202454
43.0,0.5522365399999991,1.0161539,-0.1605532
44.0,0.6794781200000001,1.0440876,-0.15883456
45.0,0.7891554500000004,1.074199,-0.15711645
46.0,0.8775283800000001,1.0988476,-0.1552104
47.0,1.0233619999999997,1.1239070999999998,-0.15353523
48.0,1.1354347999999985,1.1562312,-0.15194256
49.0,1.2802206,1.1820652,-0.15052089
50.0,1.432655,1.208085,-0.14908749999999998
51.0,1.5312684,1.2312863,-0.14710062
52.0,1.6613316000000005,1.2567472000000002,-0.14563652
53.0,1.7561418000000006,1.2874234000000007,-0.14318211
54.0,1.8625558,1.3162096,-0.141434
55.0,2.0027065,1.3405760000000002,-0.13981164999999998
