,CandT,Lassosum,LDpred2
0.0,-6.68387,-5.27631,-2.37346
1.0,-5.20828,-3.1690954,-1.1505689
2.0,-4.89772,-2.539338,-0.94091616
3.0,-4.11621,-2.2036848,-0.76018707
4.0,-4.00894,-1.9538948,-0.6636842399999999
5.0,-3.92445,-1.7320575,-0.59278305
6.0,-3.92445,-1.5914396000000004,-0.5219679600000001
7.0,-3.89014,-1.4772527,-0.46305508
8.0,-3.73269,-1.3420987999999998,-0.40101852
9.0,-3.69838,-1.2250499,-0.34529661000000006
10.0,-3.61389,-1.103516,-0.304411
11.0,-2.95118,-1.0073819,-0.26176897
12.0,-2.75942,-0.8935400000000002,-0.22284364000000004
13.0,-2.75942,-0.8129883399999999,-0.19076802999999995
14.0,-2.72511,-0.7304983399999999,-0.15400021999999994
15.0,-2.72511,-0.6455636500000002,-0.10451190000000012
16.0,-2.72511,-0.5680357599999999,-0.07756865199999995
17.0,-2.6908,-0.49567112999999996,-0.047934339
18.0,-2.64062,-0.4003450200000001,-0.023187024000000056
19.0,-2.60631,-0.32414487,0.0064654994000000006
20.0,-2.56766,-0.272223,0.02743318000000002
21.0,-2.53335,-0.20622482999999994,0.04987550600000002
22.0,-2.49904,-0.12802559999999993,0.07193432400000001
23.0,-2.44886,-0.06135143499999999,0.094155845
24.0,-2.44886,-0.008811258000000073,0.12341919999999999
25.0,-2.44886,0.039675225,0.143725
26.0,-2.44886,0.10356940000000044,0.16754712000000002
27.0,-2.44886,0.14399410999999998,0.18617017
28.0,-2.41455,0.2096563200000001,0.21117964000000009
29.0,-2.41455,0.26862882,0.23050188
30.0,-2.33006,0.31562779999999974,0.2515561
31.0,-2.33006,0.39358086000000003,0.27295328999999996
32.0,-1.75184,0.44357736000000003,0.29453832
33.0,-1.56008,0.4829158599999999,0.31801344
34.0,-1.56008,0.53763508,0.33864942000000003
35.0,-1.52577,0.5852377,0.3633721
36.0,-1.47559,0.6206949199999999,0.38383144
37.0,-1.47559,0.66131147,0.40165876
38.0,-1.44128,0.7094784000000001,0.41983246
39.0,-1.44128,0.76959343,0.44409665000000004
40.0,-1.40697,0.8091618000000002,0.465592
41.0,-1.36832,0.84793804,0.48326885999999997
42.0,-1.33401,0.89249434,0.50584878
43.0,-1.28383,0.9313633799999999,0.52296344
44.0,-1.28383,0.98199884,0.5458083600000001
45.0,-1.28383,1.0300150000000001,0.56418185
46.0,-1.28383,1.0677554,0.58339054
47.0,-1.24952,1.1052676999999993,0.6029407499999999
48.0,-1.24952,1.1544783999999997,0.6241184799999999
49.0,-1.24952,1.2000141999999998,0.64483314
50.0,-1.24952,1.24524,0.6656415
51.0,-1.24952,1.2938689,0.68315807
52.0,-1.24952,1.3396648000000004,0.7072543600000003
53.0,-1.24952,1.382695000000001,0.7279004800000006
54.0,-1.21521,1.4364916,0.74760906
55.0,-1.16503,1.498261,0.7646366
56.0,-1.16503,1.5482036000000001,0.7878592400000006
57.0,-1.16503,1.5925678999999997,0.8116113699999999
58.0,-1.16503,1.6573723999999999,0.83448802
59.0,-1.16503,1.7246734,0.85076447
60.0,-1.13072,1.776346,0.8726641999999997
61.0,-1.13072,1.8259997,0.8920347999999999
62.0,-0.5132897800000089,1.8615747999999999,0.9193090199999999
63.0,-0.27625,1.9130993,0.9381401899999999
64.0,-0.27625,1.9724644000000002,0.95994412
65.0,-0.27625,2.017400500000001,0.9789515500000001
66.0,-0.24194,2.0609166,0.99988548
67.0,-0.08449,2.1266167,1.0296157000000001
68.0,-0.08449,2.1768348,1.0508252
69.0,-0.08449,2.2355694999999995,1.0718082
70.0,-0.08449,2.295028,1.092279
71.0,-0.08449,2.3425052,1.1134559
72.0,-0.08449,2.407725999999999,1.1361071999999999
73.0,-0.08449,2.4784848999999998,1.1615769999999999
74.0,-0.05018,2.540641,1.1908712
75.0,-0.05018,2.59599,1.2164225
76.0,0.0,2.6676696,1.2420084000000002
77.0,0.0,2.7286475,1.2627772000000002
78.0,0.0,2.7920632000000003,1.2910498
79.0,0.0,2.850472,1.3209568999999999
80.0,0.03431,2.904176,1.349064
81.0,0.03431,2.9711437000000003,1.3833365
82.0,0.03431,3.0465448,1.4178796
83.0,0.03431,3.1187335,1.4498853
84.0,0.03431,3.210032,1.4763216
85.0,0.03431,3.2791674999999993,1.507365
86.0,0.06862,3.3579081999999993,1.5371355999999998
87.0,0.356707,3.4383805,1.5689648
88.0,1.11485,3.5175884,1.6067348000000001
89.0,1.11485,3.6411710000000017,1.6492701
90.0,1.1739930000000232,3.729527000000002,1.6848230000000002
91.0,1.19934,3.8372257,1.7353304999999999
92.0,1.19934,3.9527692,1.7797852
93.0,1.19934,4.0647188000000005,1.8515388000000002
94.0,1.19934,4.2015687999999995,1.9131583999999988
95.0,1.19934,4.337142999999995,1.9732189999999994
96.0,1.19934,4.5619212,2.0516403999999997
97.0,1.23365,4.793805699999999,2.1501564999999987
98.0,1.4431069999999382,5.1046704,2.307567599999999
99.0,2.39868,5.542430999999998,2.4976545999999993
99.5,2.39868,6.0458923500000035,2.6433928500000112
99.7,2.39868,6.481126660000018,2.72729972000001
99.9,2.39868,7.18286132000004,2.9743179000000097
100.0,2.39868,8.07415,3.38273
