,CandT,Lassosum,LDpred2
0.0,-1.84184,-0.275969,-1.05597
1.0,-1.3504057,-0.22480315,-0.77336893
2.0,-1.201527,-0.20563544,-0.70801414
3.0,-1.1053456,-0.19361154,-0.6536273800000001
4.0,-1.0192295999999998,-0.18155184,-0.6165858
5.0,-0.9696530999999999,-0.17392385000000002,-0.5911641
6.0,-0.9219390399999999,-0.16487264000000001,-0.56694676
7.0,-0.8793278999999999,-0.1574266,-0.549751
8.0,-0.83807108,-0.14914332,-0.52857016
9.0,-0.8005183800000001,-0.14361472,-0.5069755100000001
10.0,-0.7705384000000001,-0.1383232,-0.4886277
11.0,-0.73632149,-0.13402336,-0.47553464
12.0,-0.7125318800000001,-0.1295768,-0.46353716
13.0,-0.6828143099999999,-0.12533060000000001,-0.45157472
14.0,-0.6555475199999999,-0.12165218,-0.43910333999999995
15.0,-0.6308116,-0.11780195000000002,-0.4290496
16.0,-0.60497436,-0.11442888,-0.4180292
17.0,-0.57998456,-0.11139339,-0.40468585
18.0,-0.56052204,-0.1077402,-0.3926373
19.0,-0.53730317,-0.10434795999999999,-0.38455748
20.0,-0.5167841999999999,-0.10113319999999999,-0.3762336
21.0,-0.49404728,-0.097366545,-0.36604397
22.0,-0.4773625,-0.094074802,-0.35535839999999996
23.0,-0.45723430000000004,-0.091184315,-0.34486133999999996
24.0,-0.4395197600000001,-0.088902788,-0.33695832000000003
25.0,-0.419683,-0.08654685,-0.3295445
26.0,-0.4015611199999999,-0.08401364999999998,-0.32132814
27.0,-0.38726595,-0.081361275,-0.31303032000000003
28.0,-0.36781248,-0.07883866399999999,-0.30565624
29.0,-0.35420515,-0.07612465,-0.29674229
30.0,-0.3357636000000001,-0.07320627,-0.2901324
31.0,-0.31669151,-0.070552451,-0.28087317
32.0,-0.29946955999999997,-0.06806572799999999,-0.270951
33.0,-0.28246690999999996,-0.065476977,-0.26176881
34.0,-0.26237037999999996,-0.06312135999999999,-0.25357046
35.0,-0.24741395,-0.060227155000000004,-0.2454328
36.0,-0.23375168000000004,-0.057331184000000014,-0.23818264
37.0,-0.21659627,-0.05375959,-0.22959576
38.0,-0.20050957999999994,-0.050043663999999995,-0.22198006
39.0,-0.18308499999999994,-0.047462286,-0.21457874999999998
40.0,-0.165555,-0.043606199999999984,-0.20671219999999998
41.0,-0.15356065000000002,-0.04154423,-0.19898338000000002
42.0,-0.13832423999999996,-0.03808238799999999,-0.18790389999999998
43.0,-0.12087839000000002,-0.035447,-0.17977897000000004
44.0,-0.10280532,-0.032135876,-0.17148624
45.0,-0.09042223999999999,-0.02853002499999999,-0.16585575
46.0,-0.07844039399999998,-0.025861522,-0.15757401999999998
47.0,-0.06334243000000024,-0.023386261000000002,-0.15009123
48.0,-0.048447216000000085,-0.02075826000000001,-0.14186184000000004
49.0,-0.03233595400000002,-0.018287112000000005,-0.13411465000000006
50.0,-0.017423099999999997,-0.01552415,-0.1274345
51.0,-0.0034471189999998398,-0.01245225,-0.11831405999999998
52.0,0.012328864000000151,-0.009746839599999968,-0.11175667999999994
53.0,0.02708223600000025,-0.007414792499999989,-0.10514192999999991
54.0,0.042014027999999995,-0.004726918000000003,-0.097751698
