,CandT,Lassosum,LDpred2
0.0,-91.9855,-5.36025,-7.53253
1.0,-63.161136000000006,-3.456268,-4.9174648
2.0,-58.932848,-3.1474884,-4.5348688
3.0,-55.807348,-2.9641028,-4.3047676
4.0,-53.664004000000006,-2.8236836000000003,-4.0944316
5.0,-52.079119999999996,-2.6750179999999997,-3.90453
6.0,-50.486264,-2.5810564,-3.7588168
7.0,-49.114476,-2.4878012,-3.6268084
8.0,-48.017812,-2.4090096,-3.5039296
9.0,-46.875996,-2.3268055999999997,-3.3934303999999997
10.0,-45.734680000000004,-2.2556819999999997,-3.310648
11.0,-44.80068,-2.1819432,-3.2203428
12.0,-43.70096,-2.1168112,-3.1365592
13.0,-42.757964,-2.0584848,-3.0533104
14.0,-42.004252,-2.0061036,-2.9809872
15.0,-41.236760000000004,-1.950044,-2.911778
16.0,-40.452492,-1.9021995999999999,-2.8419100000000004
17.0,-39.647856,-1.8590144,-2.7740511999999997
18.0,-38.911312,-1.8125268,-2.7112664
19.0,-38.140912,-1.7679775999999998,-2.6495755999999995
20.0,-37.55028,-1.727322,-2.586982
21.0,-37.004892,-1.6860348000000003,-2.5322864
22.0,-36.408896,-1.6406032,-2.4721392
23.0,-35.926708,-1.5902664,-2.4238692
24.0,-35.33988,-1.5582896,-2.3701464
25.0,-34.8171,-1.51729,-2.32419
26.0,-34.124871999999996,-1.4825139999999999,-2.2749707999999997
27.0,-33.649955999999996,-1.4442491999999998,-2.2258044
28.0,-33.160432,-1.4031868,-2.179418
29.0,-32.720976,-1.3628312,-2.1279488
30.0,-32.2659,-1.3268300000000002,-2.0791100000000005
31.0,-31.73366,-1.2922324,-2.028384
32.0,-31.16892,-1.255596,-1.9837752
33.0,-30.68242,-1.2205148000000001,-1.940972
34.0,-30.231544,-1.1818368,-1.891388
35.0,-29.744000000000003,-1.151086,-1.8391600000000001
36.0,-29.3182,-1.1254936,-1.7968220000000001
37.0,-28.834548,-1.0956276,-1.7550424000000002
