,CandT,Lassosum,LDpred2
0.0,-0.333761,-0.121467,0.873911
1.0,-0.333761,-0.09173634,1.1281480000000002
2.0,-0.333761,-0.08429621999999999,1.1730307999999998
3.0,-0.267038,-0.07996880799999999,1.204826
4.0,-0.267038,-0.07685170799999999,1.2283836
5.0,-0.267038,-0.07305648,1.246766
6.0,-0.267038,-0.070278828,1.2640824000000002
7.0,-0.267038,-0.06771991200000001,1.2780276000000002
8.0,-0.267038,-0.06539044000000001,1.288106
9.0,-0.267038,-0.063145112,1.299654
10.0,-0.267038,-0.06121094,1.31053
11.0,-0.233603,-0.059020844,1.3208883999999999
12.0,-0.233603,-0.057320424,1.3300939999999999
13.0,-0.233603,-0.055500192,1.3381576
14.0,-0.233603,-0.053991604,1.3468144
15.0,-0.214655,-0.05233818,1.35436
16.0,-0.200316,-0.050810296,1.3620608
17.0,-0.200316,-0.049303604,1.3682896
18.0,-0.200316,-0.047863812000000006,1.376282
19.0,-0.200316,-0.046452264,1.3831487999999998
20.0,-0.200316,-0.04514386,1.39017
21.0,-0.200316,-0.043750828000000005,1.3961519999999998
22.0,-0.200316,-0.042528772000000006,1.4025127999999998
23.0,-0.200316,-0.041307924,1.4088243999999999
24.0,-0.17881,-0.040234772,1.4146412
25.0,-0.17881,-0.0388636,1.42065
26.0,-0.16688,-0.037718971999999996,1.4261164
27.0,-0.16688,-0.036560744,1.4319963999999998
28.0,-0.16688,-0.035292772,1.4372728
29.0,-0.16688,-0.034351696,1.4443752
30.0,-0.16688,-0.0332375,1.450416
31.0,-0.16688,-0.032099152,1.455902
32.0,-0.16688,-0.031089652000000002,1.4605232000000001
33.0,-0.16688,-0.029897852,1.4661552
34.0,-0.16688,-0.0288862,1.4709067999999998
35.0,-0.16688,-0.02780242,1.4760719999999998
36.0,-0.16688,-0.026827456000000003,1.4803684
37.0,-0.16688,-0.025892580000000002,1.485568
38.0,-0.16688,-0.024617559999999997,1.4907052
39.0,-0.16688,-0.023652087999999998,1.4952264
40.0,-0.16688,-0.022593159999999998,1.500208
41.0,-0.16688,-0.021392208,1.5055108
42.0,-0.16688,-0.020589472,1.510354
43.0,-0.145374,-0.019723384,1.51475
44.0,-0.133445,-0.01899290400000001,1.5187236
45.0,-0.133445,-0.018001179999999995,1.523188
46.0,-0.112087,-0.017029928,1.528284
47.0,-0.112087,-0.016238192000000005,1.532294
48.0,-0.100158,-0.015245812000000001,1.5373312000000001
49.0,-0.100158,-0.014416112000000003,1.5418656
50.0,-0.100158,-0.0133705,1.54688
51.0,-0.100158,-0.012449751999999998,1.5515231999999999
52.0,-0.100158,-0.011469783999999997,1.5567140000000002
53.0,-0.100158,-0.010448879999999995,1.5612948000000002
54.0,-0.100158,-0.009441343599999997,1.5656904
55.0,-0.100158,-0.008397083999999992,1.570422
56.0,-0.100158,-0.007405216399999999,1.57527
57.0,-0.100158,-0.006335311200000002,1.5803255999999999
58.0,-0.100158,-0.0054296884,1.58519
59.0,-0.100158,-0.0045425832,1.5894188
60.0,-0.100158,-0.0035870900000000124,1.594276
61.0,-0.100158,-0.002712866399999998,1.59929
62.0,-0.100158,-0.0018274924000000017,1.6037484
63.0,-0.100158,-0.0008198531199999986,1.6079416
64.0,-0.100158,3.653783599999995e-05,1.6136032
65.0,-0.100158,0.001106196000000003,1.618276
66.0,-0.0786518,0.0020818695999999994,1.6230668
67.0,-0.0786518,0.002970313200000001,1.62776
68.0,-0.0786518,0.0039815472,1.6327452
69.0,-0.0786518,0.005001847999999996,1.638978
70.0,-0.0786518,0.006108607999999993,1.644192
71.0,-0.0667224,0.007248449599999994,1.6494672
72.0,-0.0667224,0.008385251999999998,1.6539472
73.0,-0.0667224,0.009530988799999997,1.6594136000000002
74.0,-0.0667224,0.010663839999999973,1.6657959999999998
75.0,-0.0667224,0.0117514,1.67246
76.0,-0.0667224,0.013128236000000017,1.6787152
77.0,-0.0667224,0.014214492000000002,1.6846588
78.0,-0.0667224,0.015491936000000006,1.691012
79.0,-0.0667224,0.016921924,1.6981808
80.0,-0.0452162,0.018186420000000002,1.7045580000000002
81.0,-0.0119294,0.019401276000000016,1.712102
82.0,-0.0119294,0.020790732,1.7190424
83.0,-0.0119294,0.02238621600000001,1.7253356
84.0,-0.0119294,0.023718599999999986,1.7322692
85.0,0.0,0.02481296,1.739804
86.0,0.0,0.026168120000000003,1.7491687999999999
87.0,0.0,0.027636172,1.7584128
88.0,0.0,0.029039831999999998,1.7665648
89.0,0.0,0.030660639999999996,1.77658
90.0,0.0,0.032564420000000004,1.7874760000000003
91.0,0.0,0.034638292000000015,1.7982312
92.0,0.0,0.036658527999999996,1.8116172
93.0,0.0,0.039007768,1.8231308000000002
94.0,0.0,0.040939231999999985,1.8386508
95.0,0.0095768,0.043995379999999966,1.85696
96.0,0.0215062,0.04659511599999999,1.8745796
97.0,0.0215062,0.05001685200000001,1.9028708
98.0,0.0882286,0.054449432,1.9398236
99.0,0.0882286,0.06088272399999996,1.9911936
99.5,0.0882286,0.0654580520000001,2.051897400000003
99.7,0.0882286,0.0702306368,2.09131396
99.9,0.176457,0.07748374320000101,2.1479016800000004
100.0,0.176457,0.097904,2.29516
