,CandT,Lassosum,LDpred2
0.0,-18.606,-2.57791,-6.00739
1.0,-10.980224,-1.8069088,-2.6863252
2.0,-9.3356724,-1.4924816,-2.2003016
3.0,-8.4335852,-1.3304988000000002,-1.897224
4.0,-7.9564524,-1.2136948,-1.6750479999999999
5.0,-7.406794,-1.109724,-1.456138
6.0,-6.8204972,-1.0242688,-1.2473364
7.0,-6.299384,-0.91566808,-1.0588944
8.0,-5.8850212,-0.847449,-0.90582652
9.0,-5.4760652,-0.78355516,-0.78459268
10.0,-5.099611999999998,-0.6949666,-0.6601115999999999
11.0,-4.8193868,-0.65254688,-0.5500452000000002
12.0,-4.562064,-0.59039516,-0.43315136
13.0,-4.3411544,-0.5320589600000001,-0.30899888000000003
14.0,-3.9601724,-0.4855642799999999,-0.21241007999999997
15.0,-3.70614,-0.43559780000000003,-0.1329336000000001
16.0,-3.4246376,-0.38910312,-0.06027382399999999
17.0,-3.161937999999999,-0.34154379999999995,0.03388466800000018
18.0,-2.9290456,-0.30587148000000003,0.10876659999999995
19.0,-2.7119184,-0.2671788799999999,0.18281960000000005
20.0,-2.4528179999999993,-0.22304599999999963,0.25006520000000004
21.0,-2.2786155999999997,-0.16982931999999998,0.3275709600000001
22.0,-2.0985808000000006,-0.14105168000000015,0.39282231999999995
23.0,-1.9335552,-0.089363364,0.4885392
24.0,-1.7620240000000003,-0.04822136800000005,0.5651445599999999
25.0,-1.60859,-0.0112444,0.626109
26.0,-1.4554815999999995,0.018285568000000037,0.6792742000000002
27.0,-1.2712264,0.050750764,0.7527062800000001
28.0,-1.1259648,0.081744964,0.80671904
29.0,-0.99373024,0.11299148,0.87383956
30.0,-0.8207076000000002,0.1478176,0.9347565999999999
31.0,-0.6483097999999997,0.18012300000000006,0.9809336800000001
32.0,-0.4994216799999999,0.21565440000000002,1.0454676
33.0,-0.3380152,0.25064807999999994,1.1000619999999999
34.0,-0.20745967999999876,0.29314504,1.1554808000000003
35.0,-0.08076404000000116,0.3194739999999999,1.2188199999999998
36.0,0.066453812,0.3440282,1.2583016
37.0,0.22114947999999976,0.3811293999999999,1.314652
38.0,0.3913830800000015,0.41142092,1.3767828
39.0,0.5372542400000001,0.43773872,1.4261352
40.0,0.6841314000000005,0.46308960000000027,1.4773280000000002
41.0,0.8162633999999986,0.484512,1.5217124
42.0,0.9559112000000002,0.51160776,1.5734752000000003
43.0,1.0647296,0.54682648,1.6310040000000001
44.0,1.2195939999999998,0.5747856799999999,1.6829135999999998
45.0,1.3766180000000003,0.6007236000000001,1.7349740000000002
46.0,1.5257684000000002,0.62811992,1.7713244000000001
47.0,1.6480691999999997,0.6559432,1.8267316
48.0,1.8246495999999999,0.6840829199999999,1.8839635999999997
49.0,1.9579008000000002,0.7103739600000002,1.9351444000000002
50.0,2.10278,0.73995,1.99031
51.0,2.2682056,0.76297248,2.0394924
52.0,2.3993572000000003,0.79006868,2.0877528
53.0,2.548356,0.8198902,2.1486296
54.0,2.6914508000000015,0.8525932000000002,2.2053080000000005
55.0,2.8679140000000003,0.8764494000000003,2.235886
56.0,3.0006472000000004,0.9028034,2.2823059999999997
57.0,3.1710788,0.93089376,2.331822
58.0,3.2890563999999998,0.9541306799999999,2.3841288
59.0,3.389574399999998,0.9783178399999999,2.4259188000000003
60.0,3.559369999999999,1.001806,2.4728619999999997
61.0,3.7299399999999996,1.0277384,2.5297943999999997
62.0,3.8666620000000003,1.0538572000000002,2.5668832000000004
63.0,3.9944947999999996,1.0823087999999998,2.6235288
64.0,4.155668800000001,1.1071044,2.6847932
65.0,4.33978,1.1229440000000002,2.7449280000000003
66.0,4.5327556,1.1499671999999996,2.8111855999999995
67.0,4.690650000000001,1.1862452,2.8603604
68.0,4.8440488,1.2142448000000001,2.9096956000000005
69.0,5.015732799999999,1.2446012,2.9564692
70.0,5.187729999999996,1.278176,3.0277539999999994
71.0,5.3452052,1.3100176,3.0830368
72.0,5.4941492,1.3412472,3.139712
73.0,5.6670788000000005,1.3739000000000001,3.2058104000000003
74.0,5.8060272,1.4099148,3.247382799999999
75.0,5.97476,1.43781,3.31659
76.0,6.236974,1.474836,3.3641324
77.0,6.437667199999998,1.5060768,3.4145952
78.0,6.6378616,1.5461116,3.4928548000000004
79.0,6.819175200000001,1.5956056000000005,3.5638604000000003
80.0,6.955694000000001,1.6296660000000005,3.646176000000003
81.0,7.1558908,1.6623444,3.7107892
82.0,7.366726399999999,1.7154459999999998,3.7864259999999996
83.0,7.52309,1.7435072,3.8556964
84.0,7.7708656000000005,1.7827975999999999,3.9169752000000004
85.0,8.012706,1.823718,4.005075999999999
86.0,8.2773472,1.8627064,4.1091584
87.0,8.592873600000003,1.9147584000000002,4.229706800000001
88.0,8.791109599999999,1.9588527999999998,4.3383332
89.0,9.0588976,2.0096743999999997,4.4305388
90.0,9.35299,2.0654440000000003,4.568752
91.0,9.699070799999998,2.1258536,4.6388536
92.0,10.029032,2.1758783999999998,4.7802696
93.0,10.377248000000003,2.243466000000001,4.8926568
94.0,10.9525,2.327184,5.025199999999999
95.0,11.42782,2.4276539999999978,5.193015999999999
96.0,12.219651999999996,2.5408063999999997,5.381081599999997
97.0,12.962576,2.6770047999999997,5.6488084
98.0,13.792568000000003,2.813053200000001,6.078597600000003
99.0,15.044963999999995,3.0596919999999987,6.5892203999999985
99.5,16.05992000000004,3.3921282000000015,6.9219762000000005
99.7,16.68300799999999,3.7183368799999994,7.197153279999998
99.9,19.132554400000124,4.144988440000112,8.268112960000025
100.0,23.6401,4.65961,8.64592
