,CandT,Lassosum,LDpred2
0.0,-62.3253,-0.916156,-68.9934
1.0,-35.788948,-0.53255056,-34.191868
2.0,-31.078795999999997,-0.47659856,-30.346068
3.0,-28.72654,-0.44391392,-28.248336000000002
4.0,-26.73386,-0.42162976,-26.72562
5.0,-25.154159999999997,-0.40085119999999996,-25.29916
6.0,-23.591232,-0.38765928,-24.121484
7.0,-21.865864,-0.37033356,-23.049156
8.0,-20.271104,-0.3521654,-22.103991999999998
9.0,-18.815768000000006,-0.33655192,-21.070428
10.0,-17.366139999999998,-0.3231172,-19.95772
11.0,-16.124496,-0.30691240000000003,-18.756144000000003
12.0,-14.919792,-0.29067556,-17.512148
13.0,-13.9053,-0.27556664,-16.194824
14.0,-12.948827999999999,-0.25928876,-14.881447999999999
15.0,-12.029720000000001,-0.24599780000000002,-13.64952
16.0,-11.209532,-0.2328732,-12.586876
17.0,-10.43384,-0.22007608,-11.663136
18.0,-9.7758028,-0.20856860000000002,-10.849604000000003
19.0,-9.1880556,-0.19814263999999995,-10.111584
20.0,-8.6137,-0.1880334,-9.4127
21.0,-8.189338400000002,-0.17823848000000003,-8.9188136
22.0,-7.6915328,-0.17143604,-8.4176636
23.0,-7.2900312000000005,-0.16620832000000002,-7.985720400000002
24.0,-6.8512196,-0.15981304000000002,-7.539452400000001
25.0,-6.44768,-0.154596,-7.12128
26.0,-6.078263199999999,-0.14845972000000002,-6.7439376
27.0,-5.681258,-0.14353307999999998,-6.4341744
28.0,-5.3458076,-0.13880152,-6.1182064
29.0,-4.948983200000001,-0.13428900000000002,-5.818918800000001
30.0,-4.584446000000001,-0.1295264,-5.586564
31.0,-4.2895972,-0.12518092,-5.256793200000001
32.0,-3.9333824,-0.1215866,-4.9873088
33.0,-3.635864,-0.11748396,-4.7199832
34.0,-3.3162035999999997,-0.11365024,-4.50981
35.0,-3.030088,-0.10953900000000004,-4.301402
36.0,-2.7323292,-0.10605908,-4.060297600000002
37.0,-2.4221536,-0.10183344000000001,-3.8457172
38.0,-2.1241679999999996,-0.098658252,-3.6187948
39.0,-1.8199571999999993,-0.09450437199999999,-3.4047188
40.0,-1.570458,-0.09070057999999999,-3.197077999999999
41.0,-1.3067564,-0.08740649600000001,-2.9757428
42.0,-1.0595904000000003,-0.084151892,-2.7364092
43.0,-0.7697653999999999,-0.08100064800000001,-2.5676663999999993
44.0,-0.5162918400000003,-0.07819523600000002,-2.3565684000000013
45.0,-0.2982069999999999,-0.07509426,-2.1219999999999994
46.0,-0.027663160000000377,-0.072013092,-1.9222704000000006
47.0,0.20558111999999867,-0.06883256800000002,-1.7181184000000003
48.0,0.44649947999999967,-0.066199296,-1.5330092000000004
49.0,0.732105,-0.06303867200000002,-1.3371440000000006
50.0,0.97922,-0.0600514,-1.18421
51.0,1.2626416000000023,-0.057552491999999976,-0.989376839999998
52.0,1.5494988,-0.05435898799999999,-0.82068744
53.0,1.8064788,-0.05165810799999999,-0.6669301599999979
54.0,2.0643972000000006,-0.04942054799999999,-0.4911800799999998
55.0,2.266164000000001,-0.04632497999999996,-0.3192729999999983
56.0,2.4956176,-0.043461952,-0.14027507999999922
57.0,2.7320831999999995,-0.041341508,0.06111737599999988
58.0,2.978414,-0.03840868000000002,0.21947079999999916
59.0,3.199902,-0.03557574,0.38444760000000006
60.0,3.440246,-0.03305848,0.5526511999999999
61.0,3.701652,-0.029936959999999995,0.7010302800000001
62.0,3.9453928,-0.027525591999999998,0.8797442799999999
63.0,4.190948400000001,-0.024725783999999987,1.0995028000000002
64.0,4.4490372,-0.022258728000000002,1.2952924
65.0,4.679172,-0.01938718,1.5135860000000003
66.0,4.8893276,-0.016370644,1.7056016
67.0,5.1381640000000015,-0.013683703999999996,1.9136780000000013
68.0,5.4228752,-0.010299907999999998,2.0924904000000004
69.0,5.722875199999999,-0.007518926400000004,2.305608799999999
70.0,5.993801999999986,-0.00463799200000002,2.4875019999999974
71.0,6.211306399999999,-0.0017224040000000022,2.6904396
72.0,6.5134912,0.0014471831999999971,2.886205999999999
73.0,6.7988144,0.0048514119999999985,3.0847188
74.0,7.066281199999999,0.007822791999999993,3.283697999999998
75.0,7.35808,0.0110278,3.52326
76.0,7.607702800000002,0.014088916000000002,3.7283344000000027
77.0,7.8515912000000005,0.017255656000000005,3.9451136000000004
78.0,8.143594800000004,0.02087410400000002,4.194224800000006
79.0,8.490716,0.024691872000000004,4.4235564000000025
80.0,8.851068,0.02733646,4.650376000000002
81.0,9.144488800000001,0.030838024000000082,4.938161200000002
82.0,9.4238724,0.035081052,5.2181028000000005
83.0,9.781232800000002,0.03880917200000002,5.477126
84.0,10.170276,0.04270769999999999,5.7567524
85.0,10.60938,0.046719679999999986,6.073808
86.0,10.979092,0.051236156000000005,6.3947968
87.0,11.444356,0.05527984400000001,6.678131200000001
88.0,11.882227999999996,0.060078647999999964,6.98409
89.0,12.295968,0.065277628,7.3493596000000005
90.0,12.834100000000001,0.07066902,7.720078
91.0,13.322324000000004,0.076347048,8.051872000000007
92.0,14.034083999999995,0.08204649599999983,8.433088399999999
93.0,14.65204,0.08770652800000002,8.8515432
94.0,15.281227999999995,0.09444616399999994,9.440703199999993
95.0,16.13574,0.10337659999999999,10.04339999999999
96.0,17.155759999999997,0.11265683999999998,10.723303999999997
97.0,18.201836,0.12354432000000007,11.540908
98.0,19.82596399999999,0.13767739999999992,12.771235999999996
99.0,22.01759599999998,0.16371643999999988,14.604043999999995
99.5,24.338818000000035,0.18702404000000147,16.36125400000007
99.7,26.018067600000002,0.19675026,17.2889984
99.9,28.077838800000155,0.22001020800000626,19.210553200000067
100.0,33.1542,0.30164,22.8985
